ID,Salary,Designation,JobCity,Gender,DOB,10percentage,12graduation,12percentage,CollegeTier,Degree,collegeGPA,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,Age,JobAge,JobDuration,Job_Role,Specialty,JobCity_cleaned,JobState,10board_cleaned,12board_cleaned
203097,420000.0,senior quality engineer,Bangalore,f,1990-02-19,84.3,2007,95.8,2,Bachelor,78.0,Andhra Pradesh,2011,515,585,525,0.6359787565,445.0,,,,,,,0.9737,0.8128,0.5269,1.3549,-0.4455,25,22.0,1308.0,Test Engineer,Computer Engineering,Bangalore,Karnataka,State Board,State Board
579905,500000.0,assistant manager,Indore,m,1989-10-04,85.4,2007,85.0,2,Bachelor,70.06,Madhya Pradesh,2012,695,610,780,0.960603252,,466.0,,,,,,-0.7335,0.3789,1.2396,-0.1076,0.8637,26,24.0,851.0,Manager,Computer Engineering,Indore,Madhya Pradesh,CBSE,CBSE
810601,325000.0,systems engineer,Chennai,f,1992-08-03,85.0,2010,68.2,2,Bachelor,70.0,Uttar Pradesh,2014,615,545,370,0.4508765845,395.0,,,,,,,0.2718,1.7109,0.1637,-0.8682,0.6721,23,22.0,578.0,System Engineer,Computer Science,Chennai,Tamil Nadu,CBSE,CBSE
267447,1100000.0,senior software engineer,Gurgaon,m,1989-12-05,85.6,2007,83.6,1,Bachelor,74.64,Delhi,2011,635,585,625,0.9743961125,615.0,,,,,,,0.0464,0.3448,-0.344,-0.4078,-0.9194,26,22.0,1644.0,Software Engineer,Computer Engineering,Gurgaon,,CBSE,CBSE
343523,200000.0,get,Manesar,m,1991-02-27,78.0,2008,76.8,2,Bachelor,73.9,Uttar Pradesh,2012,545,625,465,0.124502074,,233.0,,,,,,-0.881,-0.2793,-1.0697,0.09163,-0.1295,24,23.0,365.0,Other,Computer Engineering,Manesar,,CBSE,CBSE
1027655,300000.0,system engineer,Hyderabad,m,1992-07-02,89.92,2010,87.0,2,Bachelor,76.32,Karnataka,2014,560,555,620,,645.0,,407.0,,,,,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,23,22.0,578.0,System Engineer,Computer Engineering,Hyderabad,Telangana,State Board,State Board
947847,300000.0,java software engineer,Banglore,m,1993-02-01,86.08,2010,67.5,2,Bachelor,72.98,Karnataka,2014,590,435,380,0.3565364877,405.0,,346.0,,,,,1.7081,-0.1054,-1.0379,-2.0092,-1.0872,22,21.0,273.0,Software Engineer,Computer Engineering,Bangalore,Karnataka,State Board,State Board
912934,400000.0,mechanical engineer,Bangalore,m,1992-05-27,92.0,2010,91.0,1,Bachelor,8.58,Tamil Nadu,2016,545,555,590,0.8295845998,,,,469.0,,,,-0.0154,1.2114,0.01,0.1459,1.247,23,22.0,365.0,Hardware Engineer,Computer Engineering,Bangalore,Karnataka,CBSE,CBSE
552574,600000.0,electrical engineer,Noida,m,1991-09-17,90.0,2009,91.2,1,Bachelor,85.03,Delhi,2013,615,670,530,0.6944793277,735.0,366.0,,,,,,-0.159,0.5454,-0.6048,-0.7415,-0.2859,24,22.0,913.0,Hardware Engineer,Computer Engineering,Noida,,CBSE,CBSE
1203363,230000.0,project engineer,Kolkata,m,1993-06-13,77.0,2010,72.2,2,Bachelor,78.0,West Bengal,2014,605,565,545,0.4935963873,385.0,324.0,,,,,,-1.308,0.5454,-0.9122,0.9066,0.0973,22,21.0,548.0,Hardware Engineer,Computer Engineering,Kolkata,West Bengal,CBSE,CBSE
87291,600000.0,senior php developer,Bangalore,m,1989-06-24,88.6,2006,83.7,2,Bachelor,74.9,Madhya Pradesh,2010,565,455,565,0.7656735812,485.0,,,,,,,0.0464,0.8128,0.0914,0.1798,0.0284,26,22.0,1461.0,Developer,Computer Engineering,Bangalore,Karnataka,State Board,State Board
190393,450000.0,senior systems engineer,Pune,m,1990-02-10,81.0,2007,86.0,1,Bachelor,72.29,Madhya Pradesh,2011,495,605,715,0.9682374959,605.0,,,,,,,-2.272,1.1248,0.8171,-0.4078,-0.4455,25,21.0,1157.0,System Engineer,Computer Science,Pune,Maharashtra,CBSE,CBSE
606655,270000.0,quality assurance engineer,Pune,m,1990-11-21,83.6,2008,69.83,2,Bachelor,60.0,Maharashtra,2013,380,580,470,0.2294817549,,266.0,,,,206.0,,0.1282,0.5454,-0.7585,-0.995,0.8637,25,23.0,760.0,Test Engineer,Computer Engineering,Pune,Maharashtra,State Board,State Board
431800,200000.0,qa analyst,Gurgaon,m,1990-10-23,60.8,2008,62.4,2,Bachelor,60.0,Haryana,2012,495,425,645,0.538386893,385.0,333.0,,,,,,0.3555,0.0328,-0.598,-0.2902,-1.2354,25,24.0,729.0,Analyst,Computer Engineering,Gurgaon,,CBSE,CBSE
1279958,300000.0,java software engineer,Bangalore,m,1992-07-02,81.2,2008,79.9,2,Bachelor,67.67,Uttar Pradesh,2013,395,565,645,,495.0,,376.0,,,,,0.7027,0.7119,0.01,-0.995,0.6721,23,21.0,913.0,Software Engineer,Computer Engineering,Bangalore,Karnataka,State Board,State Board
536517,350000.0,network engineer,-1,f,1990-01-17,69.54,2008,64.43,2,Bachelor,63.0,Uttar Pradesh,2012,485,520,355,0.3084005829,355.0,,,,,,,1.7465,1.9048,0.672,-0.2902,1.2528,25,23.0,882.0,System Engineer,Computer Science,-1,,ICSE,ISC
1087625,325000.0,product development engineer,Noida,m,1992-06-10,85.8,2010,74.8,2,Bachelor,64.8,Uttar Pradesh,2014,685,530,620,,515.0,,,,,,,1.1336,1.0449,0.7785,-0.6147,-0.8608,23,22.0,486.0,Hardware Engineer,Computer Engineering,Noida,,CBSE,CBSE
874596,250000.0,associate software developer,Gurgaon,m,1987-09-28,60.8,2006,66.66,2,Master,74.74,Delhi,2013,465,585,515,0.9113952784,545.0,,500.0,,,,,0.8463,1.0449,-1.0659,-1.6289,0.6721,28,26.0,396.0,Developer,Computer Science,Gurgaon,,CBSE,CBSE
711342,120000.0,data entry operator,Gurgaon,m,1992-12-07,65.0,2008,64.8,2,Bachelor,69.54,Uttar Pradesh,2013,465,495,515,0.5632678237,425.0,,,,,,,-0.159,0.3789,1.3933,-0.2344,1.4386,23,22.0,151.0,Other,Computer Engineering,Gurgaon,,State Board,ICSE
466888,325000.0,software engineer,Pune,f,1990-11-30,79.0,2008,62.2,2,Bachelor,76.3,Uttar Pradesh,2012,485,445,435,0.8646854134,525.0,,,,,,,0.8192,0.2668,-0.2714,-0.4078,-0.1295,25,24.0,486.0,Software Engineer,Computer Engineering,Pune,Maharashtra,CBSE,CBSE
140069,320000.0,software engineer,Bangalore,f,1988-07-25,91.2,2006,84.63,2,Bachelor,78.15,Karnataka,2010,455,535,445,0.6359787565,445.0,,,,,,,-0.1082,0.9688,0.5269,-0.2902,0.3444,27,22.0,670.0,Software Engineer,Computer Engineering,Bangalore,Karnataka,State Board,State Board
339689,200000.0,software engineer,-1,f,1991-08-20,75.67,2007,74.4,2,Bachelor,74.01,Uttar Pradesh,2012,385,555,445,0.6359787565,445.0,,,,,,,-1.0355,-0.5913,-1.3599,0.06223,-1.3539,24,21.0,487.0,Software Engineer,Computer Science,-1,,State Board,State Board
995191,190000.0,developer,Hyderabad,m,1992-01-23,92.5,2009,95.2,2,Bachelor,76.0,Telangana,2013,395,455,485,,455.0,,,,,,,-0.4463,-0.6201,-0.6048,0.7798,-2.7769,23,21.0,547.0,Developer,Computer Engineering,Hyderabad,Telangana,State Board,State Board
990077,180000.0,electrical project engineer,Bangalore,m,1986-07-30,70.0,2006,43.42,2,Bachelor,55.52,Karnataka,2014,370,360,270,0.6493897148,,356.0,,,,,,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763,29,28.0,243.0,Hardware Engineer,Computer Engineering,Bangalore,Karnataka,State Board,State Board
963123,335000.0,programmer analyst,Hyderabad,m,1993-06-28,88.0,2010,90.0,2,Bachelor,76.0,Telangana,2014,625,555,630,0.3565364877,475.0,,346.0,,,,,0.4155,0.8027,0.1357,-0.995,-0.6692,22,21.0,365.0,Analyst,Computer Engineering,Hyderabad,Telangana,State Board,State Board
350211,435000.0,systems analyst,Gurgaon,f,1991-03-02,86.8,2008,82.8,2,Bachelor,78.0,Haryana,2012,575,585,575,0.744758354,565.0,,438.0,,,,,0.0464,1.2028,-0.9245,0.5323,-0.2875,24,21.0,1216.0,Analyst,Computer Engineering,Gurgaon,,CBSE,CBSE
65096,345000.0,senior software engineer,Bangalore,m,1988-02-05,90.88,2006,82.5,2,Bachelor,66.15,Orissa,2010,415,335,405,0.8841225116,535.0,333.0,,313.0,,,320.0,0.8192,0.1888,-1.7954,1.8249,1.1343,27,23.0,1004.0,Software Engineer,Computer Engineering,Bangalore,Karnataka,State Board,State Board
810458,300000.0,ase,Bangalore,m,1993-02-01,76.8,2009,83.0,2,Bachelor,76.44,Uttar Pradesh,2014,535,510,605,0.8816200695,,420.0,,,,,,0.99,1.3779,0.7785,-0.2344,-0.6692,22,21.0,122.0,Other,Computer Engineering,Bangalore,Karnataka,State Board,State Board
918981,145000.0,telecommunication engineer,Noida,m,1994-01-20,84.0,2011,68.0,2,Bachelor,72.0,Uttar Pradesh,2015,580,570,385,0.2073921697,335.0,260.0,,,,313.0,,0.1282,0.7119,1.3933,-0.3612,-0.0943,21,21.0,59.0,Hardware Engineer,Computer Engineering,Noida,,CBSE,CBSE
472956,220000.0,java software engineer,Gurgaon,m,1992-06-11,64.0,2010,74.0,2,Bachelor,68.0,Haryana,2014,485,375,435,0.4867470084,345.0,,376.0,,,,,-3.1994,-1.8393,0.0552,0.0623,-0.7615,23,22.0,,Software Engineer,Computer Science,Gurgaon,,CBSE,CBSE
192703,530000.0,systems engineer,Hyderabad,m,1989-10-04,84.0,2007,92.0,2,Bachelor,77.2,Andhra Pradesh,2011,475,405,695,0.6707431514,455.0,,,,,,,-0.4173,0.6568,-0.0537,-1.2303,-0.9194,26,22.0,1491.0,System Engineer,Computer Engineering,Hyderabad,Telangana,SSC,State Board
1094324,340000.0,software engineer,Bangalore,m,1992-10-23,77.2,2010,86.1,2,Bachelor,71.0,Tamil Nadu,2014,560,485,450,0.6226429158,485.0,,407.0,,,,,-0.0154,1.2114,1.0859,-1.5021,0.2889,23,22.0,243.0,Software Engineer,Computer Engineering,Bangalore,Karnataka,State Board,State Board
580616,360000.0,application developer,Noida,f,1991-09-14,87.0,2009,84.4,1,Bachelor,79.3,Delhi,2013,570,475,295,0.4138382558,385.0,,,,,,,-0.7335,-0.4536,-1.0659,1.1601,-0.4776,24,22.0,821.0,Developer,Computer Engineering,Noida,,CBSE,CBSE
1208010,145000.0,ios developer,Kolkata,m,1992-01-07,73.0,2010,68.4,2,Bachelor,74.3,West Bengal,2014,560,530,605,0.9113952784,445.0,,500.0,,,,,-0.7335,0.5454,-0.7585,-0.6147,1.4386,23,22.0,456.0,Developer,Computer Science,Kolkata,West Bengal,State Board,State Board
1073190,215000.0,executive assistant,Bangalore,f,1989-08-30,71.0,2009,68.0,2,Bachelor,70.86,Uttar Pradesh,2013,430,510,405,0.3565364877,465.0,,346.0,,,,,1.5644,1.0449,0.3174,-1.8824,1.0554,26,26.0,364.0,Other,Computer Engineering,Bangalore,Karnataka,CBSE,ICSE
942679,350000.0,online marketing manager,mohali,f,1990-09-15,85.0,2008,61.0,2,Bachelor,64.98,Punjab,2011,570,475,430,,,,,,,,,-0.4854,-0.5213,2.1129,-0.735,1.8224,25,24.0,670.0,Manager,Computer Engineering,Mohali,,CBSE,CBSE
602377,270000.0,software engineer,Hyderabad,f,1992-08-21,91.5,2009,93.8,1,Bachelor,74.1,Telangana,2013,380,535,530,0.5259225843,415.0,,,,,,,-1.0208,0.2124,0.4711,0.2727,-0.0943,23,21.0,1035.0,Software Engineer,Computer Engineering,Hyderabad,Telangana,State Board,State Board
922508,80000.0,documentation specialist,Gurgaon,m,1993-02-13,77.0,2010,85.4,2,Bachelor,63.9,Punjab,2014,475,605,415,0.6493897148,435.0,356.0,,,,,,0.2718,0.5454,0.3174,-1.8824,-0.4776,22,17.0,1643.0,Other,Computer Engineering,Gurgaon,,CBSE,CBSE
550371,330000.0,associate software engineer,Bangalore,m,1991-10-02,52.33,2007,67.0,2,Master,77.15,Uttar Pradesh,2013,450,525,545,0.7357957092,475.0,,,,,,,-0.0154,1.2114,0.6248,0.7798,0.8637,24,23.0,729.0,Software Engineer,Computer Science,Bangalore,Karnataka,State Board,State Board
533417,200000.0,management trainee,-1,m,1991-02-28,88.0,2008,89.66,2,Bachelor,76.4,Kerala,2012,510,640,635,0.124502074,,233.0,,,,,,0.3941,1.2808,0.2366,-2.1998,-0.4455,24,22.0,151.0,Manager,Computer Engineering,-1,,State Board,State Board
245887,120000.0,site manager,Jhansi,m,1989-05-04,66.6,2007,68.6,2,Bachelor,60.22,Uttar Pradesh,2011,425,595,475,0.1304417357,,,,286.0,,,,-0.4173,0.3448,0.0914,-0.4078,0.6603,26,22.0,274.0,Manager,Computer Engineering,Jhansi,,CBSE,State Board
955678,145000.0,software developer,Delhi,m,1992-04-21,75.0,2009,60.0,2,Bachelor,66.0,Uttar Pradesh,2014,380,545,460,0.3565364877,395.0,,346.0,,,,,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356,23,22.0,62.0,Developer,Computer Engineering,Delhi,Delhi,CBSE,CBSE
895673,350000.0,associate software engineer,Bangalore,m,1991-12-11,91.4,2010,73.0,1,Bachelor,71.0,Uttar Pradesh,2014,555,560,825,0.2378028398,525.0,,315.0,,,,,-0.0154,0.2578,-0.5349,-1.1218,-1.359,24,23.0,517.0,Software Engineer,Computer Science,Bangalore,Karnataka,ICSE,CBSE
1207660,120000.0,.net developer,Hyderabad ,m,1993-07-05,59.0,2010,87.7,2,Bachelor,71.04,Telangana,2014,300,340,355,0.1121394382,155.0,228.0,,,,,,-0.0154,-2.4516,-0.4511,0.2727,-3.1602,22,21.0,365.0,Developer,Computer Engineering,Hyderabad,Telangana,State Board,State Board
247617,380000.0,programmer analyst,Bangalore ,f,1989-01-06,84.5,2007,82.5,2,Bachelor,92.1,Karnataka,2011,425,525,515,0.3775514194,375.0,,,,,,,0.51,0.6568,-0.6343,0.2973,0.1864,26,23.0,1065.0,Analyst,Computer Engineering,Bangalore,Karnataka,State Board,State Board
1230582,110000.0,production engineer,Chennai,m,1992-10-12,95.8,2010,87.16,2,Bachelor,79.0,Tamil Nadu,2014,430,395,500,0.0669607065,,,,253.0,,,,-0.5899,-1.1196,0.4711,-0.7415,-1.4356,23,22.0,122.0,Hardware Engineer,Computer Engineering,Chennai,Tamil Nadu,State Board,State Board
592833,205000.0,jr. software engineer,noida,f,1991-09-24,85.6,2008,82.0,2,Bachelor,74.01,Haryana,2012,370,495,455,0.08005528134,445.0,,253.0,,,,,0.1282,0.5454,0.1637,-0.4879,0.8637,24,22.0,639.0,Software Engineer,Computer Engineering,Noida,,CBSE,CBSE
434621,95000.0,software developer,delhi,m,1992-02-01,69.6,2008,71.4,2,Bachelor,77.0,Orissa,2012,485,415,575,0.9256457671,,,,,,,,-0.4173,0.6568,-0.7794,1.7074,0.1864,23,20.0,365.0,Developer,Computer Engineering,Delhi,Delhi,State Board,State Board
338428,390000.0,software engineer,Bangalore,m,1991-02-28,86.6,2009,75.0,2,Bachelor,74.0,Madhya Pradesh,2013,505,545,565,0.3565364877,475.0,,346.0,,,,,-2.5039,0.0328,0.3817,0.26793,0.5024,24,22.0,851.0,Software Engineer,Computer Engineering,Bangalore,Karnataka,CBSE,CBSE
305559,270000.0,qa analyst,Bangalore,m,1989-03-27,81.92,2007,61.46,2,Bachelor,57.54,Karnataka,2011,565,465,415,0.8431237267,515.0,,,,,,,1.2828,1.7488,1.8331,-2.2879,1.1343,26,23.0,791.0,Analyst,Computer Science,Bangalore,Karnataka,State Board,State Board
245337,60000.0,trainee software developer,Bhubaneswar,f,1988-02-13,66.5,2005,49.5,2,Master,89.7,Orissa,2011,505,505,485,0.9168699611,555.0,,,,,,,-1.0355,0.0328,-2.2308,1.0024,0.3444,27,23.0,611.0,Developer,Computer Science,Bhubaneswar,,CBSE,State Board
